tracking_id	FPKM	FPKM
ENSDARG00000096573	0	0
ENSDARG00000076045	0	0
ENSDARG00000034862	0	0
ENSDARG00000075827	0	0
ENSDARG00000088581	0	0
ENSDARG00000076900	0.00883607	0.0135686
ENSDARG00000013802	0	0.00313708
ENSDARG00000096578	0	0
ENSDARG00000029936	0	0
ENSDARG00000041589	0.00216188	0.00274967
ENSDARG00000041592	0	0.0139048
ENSDARG00000075108	0	0
ENSDARG00000016304	1.13292	0
ENSDARG00000058803	0.00303506	0
ENSDARG00000063385	37.4932	0
ENSDARG00000007804	0.00479626	0
ENSDARG00000068261	0	0
ENSDARG00000063371	0	0
ENSDARG00000078751	0.500486	0.00216926
ENSDARG00000078878	0	0
ENSDARG00000016343	0	0.00114248
ENSDARG00000023678	0.00807056	0.145409
ENSDARG00000011299	0.0111681	0
ENSDARG00000041575	0.00786428	0.0264505
ENSDARG00000058962	0	0
ENSDARG00000089799	0	0.0924397
ENSDARG00000075325	0.000804905	0.0188569
ENSDARG00000041570	0	0
ENSDARG00000093377	0	0
ENSDARG00000058991	0.0766282	0.481111
ENSDARG00000081781	0	0
ENSDARG00000058996	0	0
ENSDARG00000014313	0	0
ENSDARG00000059036	0	0
ENSDARG00000040543	0.00349443	0.0129851
ENSDARG00000096600	0	0.0168301
ENSDARG00000090704	0.015959	0.0245623
ENSDARG00000070643	1.46425	1.55592
ENSDARG00000040546	0.0550092	0.141468
ENSDARG00000040548	0	0
ENSDARG00000095117	0	0
ENSDARG00000027857	28.1731	0.0194627
ENSDARG00000015490	0.170219	0.16405
ENSDARG00000076927	0	0
ENSDARG00000043682	2.51846	3.97979
ENSDARG00000089353	0.138135	0.0608244
ENSDARG00000024452	0	0
ENSDARG00000087737	0.000320007	0.000716119
ENSDARG00000079732	0	0
ENSDARG00000090668	0	0
ENSDARG00000001915	0.45262	0.0390634
ENSDARG00000063345	0	0.0203285
ENSDARG00000035776	0	0
ENSDARG00000051855	0	0
ENSDARG00000025921	0	0
ENSDARG00000087646	0	0
ENSDARG00000080051	0	0
ENSDARG00000067781	0	0
ENSDARG00000001009	0	0
ENSDARG00000001870	0	0
ENSDARG00000002791	0.00353871	5.42319
ENSDARG00000007739	0	0
ENSDARG00000039131	0	0.00292332
ENSDARG00000040252	0	0.0024773
ENSDARG00000089477	0	0.000715009
ENSDARG00000093102	0.0213639	0.0149529
ENSDARG00000095102	0	0
ENSDARG00000040250	0	0
ENSDARG00000075505	0	0
ENSDARG00000010376	0	0
ENSDARG00000033684	0	0
ENSDARG00000040247	0	0
ENSDARG00000078743	0	0
ENSDARG00000018460	0	0.0124107
ENSDARG00000040246	0	0.0498674
ENSDARG00000040245	0.019591	0
ENSDARG00000082290	0	0
ENSDARG00000074381	0	0
ENSDARG00000095179	0	0
ENSDARG00000084484	0	0
ENSDARG00000070579	0	0
ENSDARG00000038248	0	0
ENSDARG00000070581	0	0
ENSDARG00000096559	0	0
ENSDARG00000096512	0	0.0413328
ENSDARG00000086960	0	0
ENSDARG00000080082	0	0
ENSDARG00000041157	0	0
ENSDARG00000082515	0	0
ENSDARG00000083333	0	0
ENSDARG00000081650	0	0
ENSDARG00000082292	0	0
ENSDARG00000081789	0	0
ENSDARG00000083147	0	0
ENSDARG00000090860	0	0
ENSDARG00000088916	0	0
ENSDARG00000096525	0	0
ENSDARG00000082828	0	0
ENSDARG00000087467	0	0
ENSDARG00000082581	0	0
ENSDARG00000078308	0.00557083	0
ENSDARG00000033928	0	0.000122384
ENSDARG00000031164	0	0
ENSDARG00000037777	0.00808114	0
ENSDARG00000016706	0	0.0300677
ENSDARG00000030350	0.419201	0.419094
ENSDARG00000006526	0.420403	0.806665
ENSDARG00000077688	0	0
ENSDARG00000096546	0	0
ENSDARG00000031622	0	0
ENSDARG00000079006	0	0
ENSDARG00000067785	0.157934	0
ENSDARG00000092671	0	0
ENSDARG00000063297	2.55971	0
ENSDARG00000027078	0	0.00406198
ENSDARG00000017537	0	0
ENSDARG00000063270	0	0
ENSDARG00000018008	0	0
ENSDARG00000074031	0	0
ENSDARG00000043247	0	0.0101287
ENSDARG00000063253	0	0
